,INCIDENTNEIGHBORHOOD,YEAR,ARREST_COUNT
0,Allegheny Center,2016,82
1,Allegheny Center,2017,216
2,Allegheny Center,2018,161
3,Allegheny Center,2019,239
4,Allegheny Center,2020,155
5,Allegheny Center,2021,144
6,Allegheny Center,2022,165
7,Allegheny Center,2023,82
8,Allegheny West,2016,7
9,Allegheny West,2017,34
10,Allegheny West,2018,20
11,Allegheny West,2019,17
12,Allegheny West,2020,10
13,Allegheny West,2021,17
14,Allegheny West,2022,14
15,Allegheny West,2023,11
16,Allentown,2016,64
17,Allentown,2017,194
18,Allentown,2018,167
19,Allentown,2019,147
20,Allentown,2020,101
21,Allentown,2021,112
22,Allentown,2022,92
23,Allentown,2023,70
24,Arlington,2016,20
25,Arlington,2017,50
26,Arlington,2018,60
27,Arlington,2019,43
28,Arlington,2020,31
29,Arlington,2021,36
30,Arlington,2022,33
31,Arlington,2023,39
32,Arlington Heights,2016,13
33,Arlington Heights,2017,21
34,Arlington Heights,2018,15
35,Arlington Heights,2019,55
36,Arlington Heights,2020,7
37,Arlington Heights,2021,8
38,Arlington Heights,2022,16
39,Arlington Heights,2023,20
40,Banksville,2016,24
41,Banksville,2017,44
42,Banksville,2018,39
43,Banksville,2019,38
44,Banksville,2020,53
45,Banksville,2021,38
46,Banksville,2022,25
47,Banksville,2023,30
48,Bedford Dwellings,2016,32
49,Bedford Dwellings,2017,118
50,Bedford Dwellings,2018,93
51,Bedford Dwellings,2019,117
52,Bedford Dwellings,2020,89
53,Bedford Dwellings,2021,67
54,Bedford Dwellings,2022,82
55,Bedford Dwellings,2023,67
56,Beechview,2013,1
57,Beechview,2014,7
58,Beechview,2015,2
59,Beechview,2016,67
60,Beechview,2017,252
61,Beechview,2018,220
62,Beechview,2019,189
63,Beechview,2020,147
64,Beechview,2021,134
65,Beechview,2022,85
66,Beechview,2023,97
67,Beltzhoover,2016,28
68,Beltzhoover,2017,123
69,Beltzhoover,2018,94
70,Beltzhoover,2019,78
71,Beltzhoover,2020,48
72,Beltzhoover,2021,52
73,Beltzhoover,2022,53
74,Beltzhoover,2023,20
75,Bloomfield,2014,1
76,Bloomfield,2016,74
77,Bloomfield,2017,177
78,Bloomfield,2018,174
79,Bloomfield,2019,158
80,Bloomfield,2020,109
81,Bloomfield,2021,130
82,Bloomfield,2022,89
83,Bloomfield,2023,72
84,Bluff,2010,1
85,Bluff,2016,65
86,Bluff,2017,320
87,Bluff,2018,235
88,Bluff,2019,210
89,Bluff,2020,200
90,Bluff,2021,168
91,Bluff,2022,148
92,Bluff,2023,155
93,Bon Air,2016,14
94,Bon Air,2017,45
95,Bon Air,2018,35
96,Bon Air,2019,39
97,Bon Air,2020,38
98,Bon Air,2021,40
99,Bon Air,2022,33
100,Bon Air,2023,23
101,Brighton Heights,2016,72
102,Brighton Heights,2017,235
103,Brighton Heights,2018,159
104,Brighton Heights,2019,176
105,Brighton Heights,2020,143
106,Brighton Heights,2021,117
107,Brighton Heights,2022,109
108,Brighton Heights,2023,103
109,Brookline,2016,99
110,Brookline,2017,225
111,Brookline,2018,193
112,Brookline,2019,216
113,Brookline,2020,160
114,Brookline,2021,184
115,Brookline,2022,167
116,Brookline,2023,146
117,California-Kirkbride,2014,1
118,California-Kirkbride,2015,1
119,California-Kirkbride,2016,16
120,California-Kirkbride,2017,53
121,California-Kirkbride,2018,41
122,California-Kirkbride,2019,53
123,California-Kirkbride,2020,41
124,California-Kirkbride,2021,27
125,California-Kirkbride,2022,38
126,California-Kirkbride,2023,44
127,Carrick,2012,1
128,Carrick,2014,1
129,Carrick,2015,1
130,Carrick,2016,134
131,Carrick,2017,439
132,Carrick,2018,377
133,Carrick,2019,456
134,Carrick,2020,245
135,Carrick,2021,259
136,Carrick,2022,250
137,Carrick,2023,189
138,Central Business District,1998,1
139,Central Business District,2014,1
140,Central Business District,2016,176
141,Central Business District,2017,748
142,Central Business District,2018,613
143,Central Business District,2019,717
144,Central Business District,2020,543
145,Central Business District,2021,468
146,Central Business District,2022,424
147,Central Business District,2023,749
148,Central Lawrenceville,2016,27
149,Central Lawrenceville,2017,96
