INCIDENTNEIGHBORHOOD,ARREST_COUNT,score
Central Northside,23,99.65403128760529
Ridgemont,37,99.44344163658243
Regent Square,37,99.44344163658243
New Homestead,39,99.41335740072202
Swisshelm Park,43,99.3531889290012
East Carnegie,48,99.27797833935018
Mt. Oliver,144,99.27797833935018
St. Clair,55,99.17268351383875
Summer Hill,76,98.85679903730446
Oakwood,82,98.76654632972323
Hays,120,98.19494584837545
Windgap,124,98.13477737665464
Fairywood,127,98.08965102286402
Allegheny West,130,98.04452466907341
Arlington Heights,155,97.66847172081829
Polish Hill,166,97.50300842358605
Glen Hazel,169,97.45788206979543
Morningside,188,97.17208182912154
Upper Lawrenceville,189,97.15703971119135
Duquesne Heights,191,97.12695547533092
Esplen,200,96.9915764139591
Spring Garden,219,96.7057761732852
Stanton Heights,223,96.64560770156439
Westwood,226,96.60048134777377
Lincoln Place,227,96.58543922984356
Bon Air,267,95.98375451263537
Lower Lawrenceville,272,95.90854392298436
Point Breeze North,289,95.65282791817089
West End,290,95.63778580024066
Squirrel Hill North,290,95.63778580024066
Banksville,291,95.62274368231047
Terrace Village,297,95.53249097472924
South Shore,301,95.47232250300843
Point Breeze,301,95.47232250300843
Arlington,312,95.30685920577618
California-Kirkbride,315,95.26173285198556
West Oakland,325,95.11131167268351
Overbrook,331,95.02105896510228
South Oakland,354,94.67509025270758
Upper Hill,370,94.4344163658243
Central Lawrenceville,431,93.51684717208182
Troy Hill,439,93.3965102286402
Chateau,454,93.17087845968712
North Oakland,455,93.15583634175691
Manchester,471,92.91516245487365
Beltzhoover,496,92.53910950661853
Strip District,503,92.4338146811071
Central Oakland,521,92.16305655836342
Greenfield,537,91.92238267148014
Highland Park,558,91.60649819494586
Perry North,587,91.17027677496992
Crafton Heights,601,90.95968712394705
Elliott,663,90.02707581227438
Bedford Dwellings,665,89.99699157641395
Spring Hill-City View,711,89.30505415162455
Northview Heights,713,89.27496991576413
Garfield,722,89.13959085439231
Homewood West,764,88.50782190132371
Fineview,796,88.02647412755717
South Side Slopes,801,87.95126353790613
Squirrel Hill South,812,87.78580024067388
North Shore,814,87.75571600481348
Crawford-Roberts,839,87.37966305655837
Larimer,879,86.77797833935018
Middle Hill,932,85.98074608904935
Allentown,947,85.75511432009627
Shadyside,971,85.39410348977135
Bloomfield,984,85.1985559566787
Perry South,1057,84.10048134777377
Brighton Heights,1114,83.24308062575211
East Hills,1194,82.03971119133574
Beechview,1201,81.9344163658243
Allegheny Center,1244,81.28760529482551
Sheraden,1285,80.67087845968712
Knoxville,1336,79.9037304452467
Lincoln-Lemington-Belmar,1362,79.51263537906136
Brookline,1390,79.09145607701564
Hazelwood,1396,79.00120336943442
Mount Washington,1434,78.42960288808665
Bluff,1502,77.40673886883273
Marshall-Shadeland,1516,77.19614921780988
East Liberty,1889,71.58543922984356
Homewood North,1969,70.3820697954272
Homewood South,2090,68.56197352587245
East Allegheny,2217,66.65162454873646
Carrick,2352,64.62093862815884
South Side Flats,3497,47.39771359807461
Central Business District,4440,33.2129963898917
