name,street_address,zip_code,latitude,longitude
AMERICAN CROATIAN POLITICAL BENEFICIAL CLUB ASSN. DOBROTVOR,705 CORNELL ST,15132,40.349516,-79.857656
BRADDOCK HILLS WELFARE & FIRE ASSN.,513 PARK AVE,15221,40.4180371,-79.868635
CITIZENS HOSE COMPANY NO 1,526 MONONGAHELA AVE,15045,40.341065,-79.886841
LOGGIA NICOLA MISASI NO. 1277 ORDER OF THE SONS OF ITALY IN AMERICA,432 DIVISION ST,15143,40.54106,-80.180207
SOCIAL ASSOCIATION FOR THE PITTSBURGH PROFESSIONALS (S A P P),1740 ECKERT ST,15212,40.471972,-80.03761
THE DI CRESCO-PARSONS POST NO. 803 V. F. W. HOME ASSN.,911 N STATE ST,15025,40.311616,-79.894208
FIRST CATHOLIC SLOVAK UNION BRANCH NO. 159,2726 Carson Street,15203,40.42632,-79.966381
HOMEWOOD AMERICAN LEGION HOME ASSOCIATION OF PENN HILLS PENNSYLVANIA INC,4485 & 4491 VERONA RD,15147,40.50646,-79.8431
JAMES A GARFIELD REPUBLICAN CLUB,1131-33 WOODS RUN AVE N S,15212,40.477274,-80.029499
ROBINSON TOWNSHIP LEGIONNAIRES,2275 MCKEES ROCKS RD,15136,40.451218,-80.11542
MONTOUR HEIGHTS COUNTRY CLUB,1491 CORAOPOLIS HEIGHTS RD,15108,40.503099,-80.195907
ELIZABETH TWP. EX-SERVICE MEN'S ASSN. OF ALLEG. CO.,5512 W SMITHFIELD ST,15135,40.309809,-79.828008
ITALIAN MUTUAL BENEFICIAL SOCIETY OF BRIDGEVILLE PA,414 MARGARET ST,15017,40.358174,-80.109579
RELIABLE FRATERNAL ASSN. INC.,535 Baldwin Street,15017,40.35842991,-80.10864695
OREGON HUNTING & FISHING CLUB,833 BRACKENRIDGE AVE,15014,40.603855,-79.743281
American Legion Post / Manchester,172 6th Avenue,15229,40.5269551574668,-80.0221491030056
ALLEGHENY COUNTRY CLUB INC.,250 COUNTRY CLUB RD,15143,40.561491,-80.164721
ALLEGHENY COUNTRY RIFLE CLUB,99 SCHUETZEN PARK RD,15209,40.499285,-79.991482
ALPINE HUNTING & FISHING CLUB,220 ALPINE RD,15017,40.336279,-80.141799
AMERICAN CROATIAN CLUB OF DUQUESNE,1111 W GRANT AVE,15110,40.369652,-79.856628
206 FERNLEAF,206 FERNLEAF ST,15210,40.416103,-79.976384
ACORN CLUB OF SWISSVALE INC.,7535 ROSLYN ST,15218,40.419763,-79.885338
American Legion Post #935,280 Joseph St,15227,40.394463522009,-79.969627128806
American Legion Post #82,421 Jane  Street,15106,40.4115670060133,-80.0825866754938
AMERICAN HUNGARIAN SOCIAL ASSOCIATION,936 8th Avenue,15120,40.4087983,-79.8962361
AMERICAN LEGION HOME ASSN. GEORGE L. WALTER JR. POST 106,1332 N CANAL ST,15215,40.496248,-79.927983
AMERICAN LEGION OAKMONT POST NO. 600 HOME ASSN.,650 ISABELLA ST,15139,40.520224,-79.841117
AMERICAN LEGION POST NO 980 INC,7824 SALTSBURG RD,15239,40.474786,-79.76592
AMERICAN SLOVAK PROTECTIVE SOCIETY OF EAST DEER TOWNSHIP,735 FREEPORT RD,15030,40.578991,-79.779323
AMERICAN SERBIAN CLUB OF PITTSBURGH,2524 SARAH ST,15203,40.426476,-79.969307
AMVETS POST NO 8 HOME ASSN OF MCKEESPORT,100 LAWRENCE AVE,15132,40.36323,-79.830553
AMERICAN UKRAINIAN CITIZENS CLUB OF WILMERDING,113 WATKINS AVE,15148,40.394607,-79.802104
American Croatian Polit Benefit Club,705 Cornell St,15132,40.349516,-79.857656
ARTER MURPHY POST NO 703 DEPT OF PA THE AMERICAN LEGION,3143 BRIGHTON RD,15212,40.474855,-80.030023
ATHLETIC ASSOCIATION CLUB OF BLAWNOX PA.,364 PINE ST,15238,40.493767,-79.86007
AMERICAN SLOVENIAN CITIZENS ASSN.,230 HERRON AVE,15024,40.544114,-79.814767
American Legion Post #54,325 Station Street,15017,40.35901757,-80.11331785
American Legion Memorial Home Post #290,33 Dorsey Street,15017,40.37285702,-80.09410151
American Legion George Walter Jr Post #106,1332 N Canal St,15215,40.4962398623855,-79.9279792654216
American Legion Post # 527,401 Draper  Street,15112,40.3948374418545,-79.8450783529686
American Legion Post #380,51 Duquesne Avenue,15034,40.3513928771766,-79.8886986985449
American Legion Post #447,304 Gumbert St,15133,40.3372044200712,-79.8686133085674
American Legion Post #490,1008 Castle Shannon Boulevard,15234,40.3653479763161,-80.0245967588065
American Legion Post #77,233 Commercial  Avenue,15215,40.4901301155644,-79.9035848298953
American Legion West Deer - Post #593,57 Superior Road,15044,40.630476,-79.833134
B P O ELKS NO 1090,1150 STOOPS FERRY RD,15108,40.542815,-80.212297
B. P. O. ELKS ALLEGHENY LODGE 339,400 CEDAR AVE N S,15212,40.451834,-80.000767
American Slovak Protective Society East Deer,735 Freeport Road,15030,40.5789827703697,-79.7793196194663
BEADLING SPORTS CLUB,675 PAINTERS RUN RD,15228,40.36152,-80.069009
Amvets Post #8 of McKeesport,100 Lawrence Avenue,15132,40.363221506101,-79.8305495555712
Ancient Order Hiberians #23,5203 Carnegie St,15201,40.4800685421872,-79.9536817695042
