name,street_address,zip_code,latitude,longitude
WOODSTOCK AVE AT SWISSVALE S,,nan,40.415719,-79.878697
WOODSTOCK AVE AT ORMOND ST,,nan,40.418092,-79.882809
WOODSTOCK AVE AT ORMOND ST,,nan,40.418101,-79.882505
WOODSTOCK AVE AT MELROSE ST,,nan,40.417094,-79.880745
WOODSTOCK AVE AT MELROSE ST,,nan,40.417109,-79.88106
WOODSTOCK AVE AT BRADDOCK AV,,nan,40.415333,-79.876986
WOODSTOCK AVE AT BRADDOCK AV,,nan,40.415483,-79.877135
WOODSTOCK AVE AT BELMAR PL,,nan,40.415247,-79.875834
WOODSTOCK AVE AT ARDMORE ST,,nan,40.419046,-79.884104
WOODSTOCK AVE AT #2695,,nan,40.414265,-79.87258
WOODSTOCK AVE AT #2690,,nan,40.414175,-79.87277
WOODLAND AVE AT STAYTON ST,,nan,40.469529,-80.027423
WOODLAND AVE AT STAYTON ST,,nan,40.469683,-80.027255
WOODLAND AVE AT SHADELAND AV,,nan,40.469153,-80.029949
WOODLAND AVE AT BRIGHTON RD,,nan,40.469862,-80.025696
WOODLAND AVE AT BRIGHTON RD,,nan,40.469931,-80.02592
WOOD ST OPP TIOGA ST,,nan,40.449163,-79.884022
WOOD ST OPP SUSQUEHANNA ST,,nan,40.448036,-79.883725
WOOD ST OPP HOLMES ST,,nan,40.446994,-79.883475
WOOD ST BTW FORBES AVE & FIF,,nan,40.440352,-80.000557
WOOD ST AT WALLACE AVE,,nan,40.444339,-79.884322
WOOD ST AT WALLACE AVE,,nan,40.444634,-79.884432
WOOD ST AT THIRD AVE FS,,nan,40.439008,-80.001404
ELLA ST AT LIBERTY AVE,,nan,40.463324,-79.951812
WOOD ST AT SUSQUEHANNA ST FS,,nan,40.448021,-79.883911
WOOD ST AT SOUTH AVE,,nan,40.441895,-79.885579
WOOD ST AT SIXTH AVE,,nan,40.441825,-79.999527
WOOD ST AT ROSS AVE,,nan,40.442743,-79.885246
WOOD ST AT HOLMES ST,,nan,40.447203,-79.883718
WOOD ST AT HILL AVE,,nan,40.445919,-79.883363
WOOD ST AT HILL AVE,,nan,40.446193,-79.883477
WOOD ST AT FRANKLIN AVE,,nan,40.44112,-79.886015
WOLFE AVE OPP TURNER DR,,nan,40.407741,-79.849349
WOLFE AVE OPP MARY ST,,nan,40.406845,-79.847684
WOLFE AVE AT TURNER DR,,nan,40.407675,-79.849021
WOLFE AVE AT PALLAS ST,,nan,40.40578,-79.845762
WOLFE AVE AT MARY ST,,nan,40.406796,-79.848053
WOLFE AVE AT GENERAL BRADDOC,,nan,40.410147,-79.850928
WOLFE AVE AT GENERAL BRADDOC,,nan,40.410353,-79.850808
WM PENN HWY OPP VALUE CITY,,nan,40.436447,-79.782542
CLIFF MINE RD AT OMSLAER STE,,nan,40.452281,-80.201875
CHURCHVIEW AVE OPP CASTLEVIE,,nan,40.384935,-79.958998
