name,street_address,zip_code,latitude,longitude
Harrington's,717 ROBINSON HWY,15057,40.381131,-80.261538
"Immaculate Conception, Washington",119 W CHESTNUT ST,nan,40.172023,-80.248403
"Holy Redeemer, Ellwood City - Takeout-only pizza and pierogie sale",311 LAWRENCE AVE,nan,40.870378,-80.283785
American Serbian Club,2524 SARAH ST,15203,40.426468,-79.969303
"Christ United Methodist Church, Bethel Park",44 HIGHLAND RD,nan,40.348504,-80.048385
Community Kitchen Pittsburgh (Hazelwood),107 FLOWERS AVE,15207,40.410187,-79.943718
Economy Volunteer Fire Department 1 Station 69,3308 CONWAY WALLROSE RD,15042,40.632601,-80.160665
Keith Heinritz Katering,209 BRINTON AVE,nan,40.382784,-79.762428
Mount St. Peter,100 FREEPORT RD,nan,40.563602,-79.761143
"Queen of the Rosary, Glassport",530 MICHIGAN AVE,nan,40.327075,-79.890492
"Riverview Church, on Pittsburgh's North Side",3505 PERRYSVILLE AVE,15214,40.484124,-80.014374
St. Bernadette (Monroeville),245 AZALEA DR,15146,40.441257,-79.771866
St. Iranaeus,387 MARYLAND AVE,15139,40.519276,-79.841161
"Sacred Heart Church of  Immaculate Conception Parish, Claysville",RT 40 AND S,nan,40.116334,-80.415484
Oakmont Elks,106 WASHINGTON AVE,nan,40.516208,-79.847427
Allegheny Elks Lodge #339,400 CEDAR AVE,nan,40.451826,-80.000775
ALLEGHENY COUNCIL TO IMPROVE OUR NEIGHBORHOODS-HOUSING INCORPORATED (MILLER AVE SENIOR APARTMENTS INC),803 E PITTSBURGH MALL,15112,40.400305,-79.835353
AMATEUR ATHLETIC UNION OF THE UNITED STATES INC (ASPIRE SPORTS),1536 BRIMFIELD DR,15143,40.57733137,-80.08485354
BHUTANESE COMMUNITY ASSOCIATION OF PITTSBURGH,3000 BROWNSVILLE ROAD SUITE C,15227,40.3810611789574,-79.9763271803999
BETHEL PARK VOLUNTEER FIRE COMPNAY STATE RELIEF ASSOCIATION,5213 BRIGHTWOOD RD,15102,40.3292014021027,-80.0299258702256
BETA ALPHA PSI NATIONAL COUNCIL (206 THETA CHI CHAPTER DUQUESNE UNIV),DUQUESNE UNIVERSITY,15228,40.43618,-79.992831
AUGUST & MINNIE BONOMO TR PERPETUAL CHAR TR UA 07-13-91,100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
ASSOCIATION OF OCCUPATIONAL HEALTH PROFESSIONALS (WISCONSIN CHAPTER),125 WARRENDALE BAYNE RD STE 375,15086,40.6548829484252,-80.0880165166633
ARNOLD D AND WINIFRED W PALMER FOUNDATION,1001 LIBERTY AVENUE NO 1150,15222,40.4445687762873,-79.9939920077681
ARC OF GREATER PITTSBURGH (ALLEGHENY ARC OF GREATER PITTSBURG),711 BINGHAM ST,15203,40.42980966158,-79.9912983619098
AMERICAN ORFF-SCHULWERK ASSOCIATION (PITTSBURGH CHAPTER),2019 SUNNYDALE RD,15243,40.3692630537321,-80.0905086640346
ALLEGHENY COUNTY EMERGENCY MEDICAL SERVICES INC,1 READSHAW WAY,15236,40.3447978361126,-79.9752232705233
ALLEGHENNY COUNCIL TO IMPROVE OUT NEIGHBORHOODS-HOUSING INC (CHI AFFORDABLE HOUSING INC),611 WILLIAM PENN PL STE 800,15219,40.4414050975522,-79.9966582145939
A.W. Beattie Career Center,9600 BABCOCK BLVD,15237,40.57908,-80.00427
A G WINSWORTH TRUST 08284-03-0 (MASSACHUSETTS CO INC TR),100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
1922 CLASS OF THE UNITED STATES NAVAL ACADEMY MEMORIAL SCHOLARSHIP,100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
CARNEGIE PM CHURCH,640 DOW AVE,15106,40.40643184,-80.08005312
CARNEGIE COMMUNITY DEVELOPMENT CORPORATION,150 E MAIN ST STE 205,15106,40.4079791,-80.08546863
CARNEGIE ROTARY CLUB FOUNDATION,17 SUNNYSIDE AVE,15106,40.40098801,-80.14018091
CARPATHO RUSYN SOCIETY,915 DICKSON ST,15120,40.40745351,-79.90501475
BRAIN CANCER AWARENESS 5K LIMITED,1926 DEARBORN DR,15131,40.34228624,-79.80532892
CARRIE SCHEURER SMITH TR FOB ALBERT J SCHEURER PERPETUAL FUND,100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
CARRIE MAY MCCURDY TRUST,100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
CARRIE GRAHAM BAUER TRUST 19967-1 (PITTSBURGH NATL BANK TR),100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
CARRIE A LOUTH PATCH (FIRST NATIONAL BANK),100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
CARRICK HOCKEY CLUB,2072 PLAINVIEW AVE,15226,40.4019728353119,-80.0187536214547
CARPENTERS BUILDING CORPORATION,650 RIDGE RD,15205,40.4291859489291,-80.135333399697
CARPENTERS BUILDERS INC,191 FIRDEN LN,15037,40.2525763039853,-79.8706041052848
CAROLINE HUNTER CHARITABLE TRUST,100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
CAROLINE D BLOOMER CHARITABLE TRUST,100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
CAROL MILLIGAN MINISTRIES INC (OVERCOMING THROUGH THE WORD),41 B BETHANY DR,15215,40.4362035437193,-79.9964582761534
CAROL E AND MYLES P BERKMAN FOUNDATION,850 POPLAR ST,15220,40.4196618433487,-80.0490272123466
CAROL B MCFERRAN MEMORIAL FUND D-2890,100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
CARNEGIE VOLUNTEER FIRE AND RESCUE BUREAU,201 W MAIN ST,15106,40.404817801486,-80.0905892644161
CARNEGIE MELLON UNIVERSITY,5000 FORBES AVE,15213,40.4442050124314,-79.9433957963125
CARNEGIE LIBRARY OF PITTSBURGH,4400 FORBES AVE,15213,40.4436984811172,-79.9490987702512
CARNEGIE EMS INC,K783 201 W MAIN ST,15106,40.404817801486,-80.0905892644161
CALVIN LOGAN HASSINGER AND CATHERINE ELVERDA HASSINGER TRUST,100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
BURRELL L & FRANCES NORTHAM SCHOLARSHIP FOUNDATION,100 S COMMONS STE 116,15212,40.4501280374225,-80.006161636105
BOROUGH OF OAKMONT VOLUNTEER FIRE DEPARTMENT,418 VIRGINIA AVE,15139,40.5231777636916,-79.8391745442317
