name,street_address,zip_code,latitude,longitude
Carrone Baptist Church,7119 Frankstown Ave,15208,40.458024,-79.897654
HOLLIDAY MEMORIAL AFRICAN METHODIST EPISCOPAL ZION CHURCH,600 TALBOT AVENUE,15104,40.4016873,-79.870061
Holy Ghost,,nan,40.4669304,-80.0319824
Corpus Christi Church /of Saint Charles Lwanga Parish (Closed until further notice),,nan,40.4698715,-79.8940735
Beechview United Presbyterian Church,1621 Broadway Ave,15216,40.409686,-80.024391
Epiphany Church /of St. Alphonsus Parish,,nan,41.1094284,-79.9018631
Immaculate Conception Church /of Immaculate Conception Parish,,nan,40.172039,-80.2490234
SAINT JOHN THE BAPTIST UKRAINIAN CATHOLIC CHURCH,109 SOUTH SEVENTH STREET,15203,40.428522,-79.9919247
Mt Pisgah Presbyterian Church,31 Warriors Rd,15205,40.4257198,-80.0462063
SAINT CHARLES LWANGA CHURCH,7705 BENNETT STREET,15208,40.4547104,-79.8881045
SAINT MARK AFRICAN METHODIST EPISCOPAL CHURCH,1409 MONTIER STREET,15221,40.4444266,-79.8747321
SAINT MARGARET OF SCOTLAND CHURCH,310 MANSFIELD AVENUE,15220,40.4225365,-80.0469146
SAINT LOUISE DE MARILLAC CHURCH,320 MCMURRAY ROAD,15241,40.3158045,-80.0717538
SAINT LAWRENCE O'TOOLE GARFIELD,5323 PENN AVENUE,15224,40.4648973,-79.9380644
SAINT JOSEPH OHARA CHURCH,342 DORSEYVILLE ROAD,15215,40.5189784,-79.9239557
SAINT JOSEPH AND SAINT JOHN VIANNEY,438 ORMSBY AVENUE,15210,40.4125499,-79.979812
SAINT JOHN VIANNEY PARISH,225 ALLEN STREET SAINT GEORGE,15210,40.4201854,-79.9934853
SAINT JOHN THE BAPTIST CATHOLIC CHURCH,444 SAINT JOHN STREET,15239,40.4882427,-79.777165
SAINT JOHN THE BAPTIST BYZANTINE CATHOLIC CATHEDRAL,210 GREENTREE ROAD,15120,40.3821804,-79.9152046
SAINT JOHN NEUMANN CHURCH,2230 ROCHESTER ROAD,15237,40.5711409,-80.0708344
SAINT JOHN FISHER CHURCH,33 LEWIN LANE,15235,40.4352306,-79.844945
