name,street_address,zip_code,latitude,longitude
Bachman's Greenhouse and Nursery,Route 908 & Ekastown Road,15065,40.667206,-79.730284
Woods Run Green Grocer,1201 Woods Run Avenue,15212,40.476243,-80.030199
Wilmerding Green Grocer,314 Commerce Street,15148,40.392927,-79.807721
Wilkinsburg Farmer's Market,225 Penn Avenue,15221,40.446769,-79.891807
Wilkins Township Farmer's Market,333 Penn Center Boulevard,15235,40.427682,-79.811636
West Homestead Farmer's Market,456 W. 8th Avenue,15120,40.401228,-79.917314
Verona Farmer's Market,736 East Railroad Avenue,15147,40.506048,-79.844477
Valley View Farm Stand,601 N. Aiken Avenue,15206,40.47095,-79.932796
Upper St. Clair Lions Farmer's Market,2040 Washington Road,15241,40.339976,-80.065555
Tractor Supply Farmer's Market,4015 Freeport Road,15065,40.6469097311273,-79.710023447838
The Block @ Northway,8103 McKnight Road,15237,40.558382,-80.023612
Tarentum Farmer's Market,913 Lock Street,15084,40.604353,-79.756658
Swissvale Fresh Access,2036 Noble Street,15218,40.420912,-79.885924
Steel Plaza Farmer's Market,8 Grant Street,15222,40.441041,-79.995344
Mazurs Greenhouse and Farm,3333 Babcock Boulevard,15237,40.533761,-80.019284
Market Square Farmer's Market,Market Square,15222,40.441025,-80.002645
Mallisee Farm,Saltsburg Road at Willow Village,15239,40.475162,-79.771779
Late Bloomers Garden Club Farmer's Market,1840 Ardmore Boulevard,15221,40.424984,-79.861141
Jodikinos Farm Stand,2488 Route 18,15026,40.540033,-80.419116
Janoski's Farm Market,1714 Route 30,15026,40.492125,-80.331248
Homewood Green Grocer,7227 Hamilton Avenue,15208,40.454588,-79.896213
Homewood Fresh Access,7139 Frankstown Avenue,15208,40.457852,-79.89772
Homewood Backyard Market,7139 Frankstown Avenue,15208,40.457852,-79.89772
Green Tree Farmer's Market,10 W. Manila Avenue,15220,40.418771,-80.047047
Larimer Farm Stand,413 Larimer Avenue,15206,40.465052,-79.915181
Wexford Farms,550 Warrendale Road,15090,40.64763,-80.100129
Lawrenceville Farmer's Market,250 40th Street,15201,40.467695,-79.960795
Glassport Green Grocer,440 Monongahela Avenue,15045,40.327806,-79.892689
Fox Chapel Farmer's Market,423 Fox Chapel Road,15238,40.522005,-79.886905
Forest Hills Farmer's Market,Ardmore Boulevard,15221,40.427339,-79.862839
Etna Farmer's Market,437 Butler Street,15223,40.499688,-79.944058
Elizabeth Farmer's Market,Water Street,15037,40.272309,-79.888919
East Liberty Farmer's Market,N. Euclid Avenue,15206,40.471654,-79.922148
East Hills Green Grocer,2291 Wilner Drive,15221,40.454251,-79.869969
Duquesne Green Grocer,1 N. Linden Street,15110,40.37579,-79.842718
Duda's Farm Stand,Hayden Boulevard,15037,40.258934,-79.878584
Duda's Farm Stand,1029 Lebanon Road,15122,40.36009,-79.932729
Dillner Family Farm,4140 Sandy Hill Road,15044,40.669553,-79.921152
DeCarlo's Market,560 McKeesport Road,15037,40.278533,-79.875457
Clairton Green Grocer,533 Miller Avenue,15025,40.294044,-79.883259
Carrick Farmer's Market,1529 Brownsville Road,15210,40.400141,-79.988968
Braddock Farm Stand,6th Street & Braddock Avenue,15104,40.403283,-79.868588
Bloomfield Farmer's Market,5050 Liberty Avenue,15224,40.459003,-79.944493
Bethel Park Farmer's Market,Corrigan Drive,15102,40.319687,-80.008541
Bellevue Farmer's Market,34 N. Balph Avenue,15202,40.496526,-80.054299
Beechview Fresh Access,Broadway Avenue & Hampshire Avenue,15216,40.410567,-80.024673
Bedner's Farm,1520 Bower Hill Road,15220,40.361146,-80.089128
Aspinwall Flea Market,217 Commerical Avenue,15215,40.490575,-79.904305
Farmer's Co-Op of East Liberty,344 N. Sheridan Avenue,15206,40.464359,-79.921285
Ambridge Farmer's Market,624 Park Road,15003,40.586729,-80.229576
Friel's Farm Market,390 Friel Road,15005,40.631948,-80.156065
Bachman's Greenhouse and Nursery,2905 Freeport Road,15065,40.640015,-79.711384
Blackberry Meadows Farm,7115 Ridge Road,15065,40.657587,-79.747334
Bridge's Farm,7108 Leechburg Road,15068,40.517658,-79.764416
Beccari's Farm Market,5095 Thoms Run Road,15071,40.373965,-80.133129
Eichner's Farm Market,285 Richard Road,15090,40.607845,-80.060142
Coraopolis Farmer's Market,1211 5th Avenue,15108,40.516388,-80.161044
Douds Floyd Farm,405 Pleasant Drive,15001,40.653395,-80.33369
Trax Farms,528 Trax Road,15332,40.276656,-80.032011
Harvest Valley Farm,6003 Cunningham Road,15044,40.663915,-79.934944
Holy Cross Farmer's Market,123 Gilkeson Road,15228,40.355484,-80.053081
