name,street_address,zip_code,latitude,longitude
Armstrong Playground (Play Area 5 to 12),Carson St,nan,40.42821987,-79.98613126
Fineview Playground (Whirl),63 Edenvale St,nan,40.46189553,-80.00356468
Frick Beechwood Playground (Swing 2 Bays),2515 Beechwood Blvd,nan,40.4300101,-79.91515805
Grandview Playground (Swing 2 Bays),745 McLain St,nan,40.42487439,-79.99406145
Lincoln Place Playground (Play Area 2 to 5),5375 Cox Ave,nan,40.37002022,-79.91737758
Marmaduke Playground (Play Area 2 to 5),1820 Marmaduke St,nan,40.48417911,-80.04243448
Marmaduke Playground (Spring Toy - Turtle),3827 Bonaventure Way,nan,40.48434776,-80.04241546
Mutual Playground (Play Area 5 to 12),Mutual St,nan,40.45221297,-80.063946
Robert E. WIlliams Playground (Spring Toy - Fire Truck),3500 Milwaukee St,nan,40.45450605,-79.95975344
Schenley Anderson Playground (Slide),Panther Hollow Rd,nan,40.43562247,-79.94752293
Sheraden Upper Playground (Play Area 2 to 5),3105 Ashlyn St,nan,40.45580262,-80.05729057
Sue Murray Playground (Spring Toy - Seat),413 Cedar Ave,nan,40.45162795,-80.00150071
Westinghouse Playground (Swing 2 Bays),398 N Murtland St,nan,40.45290843,-79.90333692
Albert Graham Playground (Play Area 5 to 12),Foreside Pl,nan,40.44040909,-79.98407301
Picnic Hut,,nan,40.4582211337825,-79.7491417693863
Pie Traynor Field,,nan,40.5873005860373,-79.9911650847513
Pie Traynor Field Concession Stand,,nan,40.5868364820442,-79.9902115765943
Pie Traynor Soccer Field,,nan,40.5861961597478,-79.9924689838992
Platform Tennis Court 1,,nan,40.6060198656835,-80.01250221928
Platform Tennis Court 2,,nan,40.606107608251,-80.0128546820738
Police Fitness Center,,nan,40.3072710261224,-79.999761009507
Practice Horse Ring,,nan,40.5705242842157,-79.9266030608517
Practice Horse Show Ring,,nan,40.6042304490515,-80.0266890535777
Pump House,,nan,40.4594477197153,-79.7518027488131
Ranch House,,nan,40.6041633981587,-80.0239655539468
Remote Control Airplane Field,,nan,40.4618102871115,-79.743771817807
Remote Control Airplane Field,,nan,40.3017722037884,-80.0021387597225
Rental Building,,nan,40.6105871351412,-80.0172965888606
