name,street_address,zip_code,latitude,longitude
Untitled (Ben Grubb) (Ben Grubb),,nan,40.481455,-79.911319
Time Travelers (Edith Abeyta & Sandy Kessler Kaminski),,nan,40.406833,-79.944514
Windows of Light (Jane Haskell),,nan,,
Residents of Schenley Park (Nicole Reading),,nan,40.431529,-79.944815
Caves (Randi Stewart),,nan,40.429959,-79.914858
Reflective Pods (Saige Baxter),,nan,40.439036,-79.898644
Manimal Friends (Ramiro Davaro-Comas),,nan,40.480761,-80.01752
"Stars, Sun, and Planets with Spaceships! (Sandy Kessler Kaminski & Linda Wallen)",,nan,40.481303,-80.017856
Color Beechview (Lori Hepner),,nan,40.410721,-80.02454
Home Court Advantage (Janel Young),,nan,40.41397,-80.003484
Spring Hill Mosaic (Linda Wallen),,nan,40.465522,-79.991446
Grand Army of the Republic Memorial,,nan,40.440568,-79.945069
National Woman's Relief Corps Memorial: Annie Wittenmyer,,nan,40.440714,-79.945583
National Woman's Relief Corps Memorial: Flo Jamison Miller,,nan,40.440855,-79.946056
Police Department Zone 6 Mural,,nan,40.442081,-80.032174
Pittsburgh Marathon and Great Race Monument,,nan,40.424313,-79.93622
Forbes Road Monument,,nan,40.454184,-79.913295
Eagles,,nan,40.484446,-79.907891
Stephen Foster (Giuseppe Moretti),,nan,,
Deutschtown City Steps Mosaic Mural (Linda Wallen),,nan,40.458197,-79.995558
Carrick Art Intersection (Guy Ruff),,nan,40.39134617,-79.98660656
Paulson Spray Park Mural (Will Schlough),,nan,40.46875207,-79.90093222
We Are Pittsburgh (Joshua Chang & Aaron Ramon),,nan,40.44333016,-80.004729
Hays Monument,,nan,40.385777,-79.932796
Neptune,,nan,40.43820988,-79.94730707
Deer,,nan,40.45320926,-80.01400326
Edward Manning Bigelow (Giuseppe Moretti),,nan,40.44010959,-79.94730707
Welcome (Giuseppe Moretti),,nan,40.47860753,-79.91620203
Panthers (Giuseppe Moretti),,nan,40.43780933,-79.9470019
Griffins,,nan,40.48270833,-79.92000147
