name,street_address,zip_code,latitude,longitude
922 Building Department of Energy Cafeteria,626 Cochran Mill Road,15236,40.30511,-79.976298
AC Hotel Level 7 Kitchen & Rooftop Bar ,1126 Smallman Street,15222,40.445871,-79.993547
31 Sports Bar & Grille,1020 Washington Pike,15017,40.36605354,-80.10640739
218 Bar & Grill,218 7th Avenue,15084,40.600047,-79.76151
24 (Twenty-Four),1016 Duquesne Boulevard,15110,40.38416569,-79.85931292
8th Ave Cafe,514 8th Avenue,15120,40.4087685,-79.9047092
424 Walnut,424 Walnut Street,15143,40.54058264,-80.18200529
A Sweet Boutique by Bella Christie & Lilâ Zâs,3511 Butler Street,15201,40.46439894,-79.96628926
61Z Cafe,5017 2nd Avenue,15207,40.40799056,-79.94330837
61B Cafe ,1110 Braddock Ave,15218,40.432405,-79.893877
AGH Cancer Institute Cafe,320 North  Avenue,15212,40.4819495082032,-79.9738432351072
AFC Sushi @ Children's Hospital,4401 Penn Avenue,15224,40.467315,-79.95359
A's 2's / Ace's & Deuce's Lounge,1400 5th  Avenue,15219,40.4383699438106,-79.9863100411524
A'Pizza Badamo,656 Washington Road,15228,40.3810874636857,-80.0447151313856
A Taste Of India,4320 Penn Avenue,15224,40.4657475872419,-79.9535258381933
A J Bambino,910 Beaver Grade Road,15108,40.5120947459125,-80.2154534995707
A & B Pizza,2418 Freeport Road,15065,40.6320935960858,-79.7148126291564
941 Saloon,941 Liberty Avenue,15222,40.4435480878148,-79.9966178838311
9 Cafe,900 Wood Street,15221,40.4429406195166,-79.8850077765705
876 Island Spice,7930 Frankstown Avenue,15221,40.4551968449348,-79.8848242173176
802 Bean Company,802 Brookline Boulevard,15226,40.3935178692127,-80.0200805632488
77 Cafe' / Guckenheimer Services,77 Hot Metal  St,15203,40.4267500047589,-79.9635349037106
7 - 10 Lounge,1501 Highwood Avenue,15137,40.383636,-79.820861
64 Bridge St,64 Bridge  Street,15223,40.4965224411605,-79.9418435261661
5801 Video Lounge & Cafe,5801 Ellsworth  Avenue,15232,40.4564171406333,-79.9307702982032
525 Cafe,525 William Penn,15219,40.440202,-79.99774
51 Wings ,4022 Saw Mill Run Blvd,15227,40.4122683,-80.0071141
500 Grant - One Mellon Cafe / Aramark,500 Grant  Street,15219,40.4396462550393,-79.99589388755
4Four6 Distillery,703 Main  Street,15215,40.4944209347981,-79.9350159793285
4121 Main ,4121 Main Street,15224,40.4652703528272,-79.95433280916
412 Brewery,847 Western Avenue,15233,40.4518957395155,-80.0159635038898
3 Minute Fitness Fuel Bar,2600 Carson Street,15203,40.427279,-79.968242
3 Minute Fitness ,1136 Thorn Run Road,15108,40.5058330581324,-80.2095546533044
3 Lakes Golf Course 19th Hole,6700 Saltsburg Road,15235,40.4803296491321,-79.8022444645129
235 Tavern ,3420 Universal  Road,15235,40.4897164279803,-79.7832178886817
202 Hometown Tacos,407 Lincoln Avenue,15202,40.4940489471583,-80.0528864266738
Al's Cone Zone,1211 State Route 885,15025,40.315991,-79.917902
Ace Sushi @ Fresh Thyme #451,1155 Washington Pike,15017,40.369608,-80.105019
AMBU Cafe,700 Cherrington Parkway,15108,40.493476,-80.202561
