name,street_address,zip_code,latitude,longitude
Giant Eagle #47 / Market District Robinson ,100 Settlers Ridge Center Drive,15205,40.441637634695,-80.1513485570352
Coraopolis Cash Market,1017 4th Avenue,15108,40.51830673,-80.16281306
Giant Eagle,4680 Old Wm Penn Hwy,15146,40.43933709,-79.74333903
Pittsburgh Commissary,79 Soldiers Lane,15108,40.50187051,-80.21844145
Save A Lot,25 Foster Avenue,15205,40.44069512,-80.06941899
Kuhn's,700 Buelah Road,15145,40.427123,-79.835819
Shop N Save,4647 Buttermilk Hollow Road,15122,40.36099215,-79.90653531
Dollar Tree #5553,1630 Arlington Avenue,15210,40.4173609186483,-79.9874162395652
Costco #649,501 W Waterfront Dr,15120,40.4029700093699,-79.9214116735045
Donatelli's Italian Food Center,4711 Liberty Avenue,15224,40.4621478401123,-79.9493419627557
East End Food Co-Op,7516 Meade Street,15208,40.44830433,-79.89570123
Food Shoppe,5878 Northumberland  Street,15217,40.4415613067987,-79.9205356682313
Shop 'n Save,4313 Walnut  Street,15132,40.3219335823086,-79.8336933853579
Shop 'n Save,5001 Library Road,15102,40.3410994460123,-80.0246620779768
Community Market,1710 Pacific Avenue,15065,40.6211027742764,-79.7240879980997
Bombay Market,4605 Centre Avenue,15213,40.4521473944633,-79.9517842956016
Community Super Market,1117 Milltown Rd,15147,40.4986513151729,-79.7907203449821
Costco #332,202 Costco Drive,15205,40.4595128129547,-80.1652254364233
Giant Eagle #25,1029 West View Park Drive,15229,40.516959,-80.038859
Fresh Thyme Farmer's Market #452,665 Clairton  Boulevard,15236,40.3301968381685,-79.9440817860651
Giant Eagle #45,225 Blazier Dr,15237,40.584386,-80.038153
Giant Eagle #64,3812 O'Neil Blvd,15132,40.347309,-79.831342
Genji,10576 Perry Highway,15090,40.6122613707721,-80.0529106557463
Giant Eagle #67,8080 McKnight Rd / McIntyre Square  Drive,15237,40.556668,-80.022232
Giant Eagle #0004,5055 Library  Road,15102,40.3389236351549,-80.0254781207211
Giant Eagle / Market District Pine #43,155 Towne Center  Drive,15090,40.632214,-80.054324
Giant Eagle #0015,1701 Lincoln Highway,15137,40.3722453854663,-79.7887557401352
Giant Eagle #0052,132 Ben Avon Heights Rd,15237,40.5216393149771,-80.0691386522503
Fresh Thyme Farmers Market #451,1155 Washington Pike,15017,40.36960041,-80.10501537
Giant Eagle #0073,9901 Mountain View  Drive,15122,40.3396577028123,-79.9497507234932
Giant Eagle #641,1025 Washington Pike,15017,40.367163,-80.110119
Giant Eagle #0093,600 Towne Square Way,15227,40.3656415083411,-79.9834038578078
Giant Eagle #24 ,3239 Washington Pike,15017,40.34106021,-80.11828257
