business_name,address,zip_code
MILKY WAY DAIRY & VEG. RESTAURANT,"2120 MURRAY AVE, Pittsburgh, PA 15217",15217
BURGER-KING,"2900 BROWNSVILLE RD, Pittsburgh, PA 15227",15227
SWEET TIME CAFE & GENERAL STORE,"501 E OHIO ST, Pittsburgh, PA 15212",15212
GAETANO'S RESTAURANT,"1601 BANKSVILLE RD, Pittsburgh, PA 15216",15216
ANN'S MARKET #2,"2316 WEBSTER AVE, Pittsburgh, PA 15219",15219
FIORIS PIZZARIA,"103 CAPITAL AVE, Pittsburgh, PA 15226",15226
CONICELLA'S PIZZA,"422 GREENFIELD AVE, Pittsburgh, PA 15207",15207
SOUTHSIDE STEAKS RESTAURANT,"2000 E CARSON ST, Pittsburgh, PA 15203",15203
PIZZA CARE LLC,"1525 5TH AVE, Pittsburgh, PA 15219",15219
SUNOCO PARTNERS MARKETING & TERM LP,"5733 BUTLER ST, Pittsburgh, PA 15201",15201
PITALAND,"620 BROOKLINE BLVD, Pittsburgh, PA 15226",15226
BARBARA GROSSMAN,"171 10TH ST #2, Pittsburgh, PA 15222",15222
PIZZA PERFECTA,"5987 ALDER ST, Pittsburgh, PA 15232",15232
CONLEY'S BAR INC,"5245 BUTLER ST, Pittsburgh, PA 15201",15201
BURGER AGENCY INC,"752 BROWNSVILLE RD, Pittsburgh, PA 15210",15210
ISLAND HOSPITALITY MGMT (HYATT),"260 NORTH SHORE DR, Pittsburgh, PA 15212",15212
DBA SLICK'S CAPITAL BAR AND GRILL,"101 CAPITAL AVE, Pittsburgh, PA 15226",15226
SMALLMAN STREET DELI,"1916 MURRAY AVE, Pittsburgh, PA 15217",15217
MAD MEX RESTAURANT/BIG BURRITO RESTAURANT GROUP,"370 ATWOOD ST, Pittsburgh, PA 15213",15213
SOBA/NUNCA INC RESTAURANT,"5847 ELLSWORTH AVE, Pittsburgh, PA 15232",15232
CUPKA'S CAFE I,"48 S 27TH ST, Pittsburgh, PA 15203",15203
CHIEFS CAFE,"301 S CRAIG ST, Pittsburgh, PA 15213",15213
SAL'S PIZZA,"1322 E CARSON ST, Pittsburgh, PA 15203",15203
BARNES & NOBLE BOOK STORE #2898,"910 FREEPORT RD, Pittsburgh, PA 15238",15238
PEOPLES GROCERY,"5138 PENN AVE, Pittsburgh, PA 15224",15224
FRANK'S PIZZA CHICKEN RESTAURANT,"1442 LOWRIE ST, Pittsburgh, PA 15212",15212
BIG SAMS MEMPHIS BBQ,"1204 FEDERAL ST, Pittsburgh, PA 15212",15212
BIG DOG COFFEE LLC,"2717 SARAH ST, Pittsburgh, PA 15203",15203
CAFE SAM,"5242 BAUM BLVD, Pittsburgh, PA 15224",15224
SPAK BROTHERS PIZZA,"5107 PENN AVE, Pittsburgh, PA 15224",15224
BROOKS HOSPITALITY LLC,"808 LIBERTY AVE, Pittsburgh, PA 15222",15222
