hood,score
Shadyside,1.0
Squirrel Hill South,0.9288212705987504
South Side Flats,0.9143753825927339
Bloomfield,0.9053553385005495
Strip District,0.8614191099697489
Central Business District,0.8607802294166579
North Oakland,0.8349166662074512
East Liberty,0.6993987142100035
Squirrel Hill North,0.6895701637814095
Brookline,0.6434425732570189
Lincoln-Lemington-Belmar,0.6323556566080549
Central Oakland,0.613805222128142
Banksville,0.6069447276441552
Central Lawrenceville,0.5574126840834879
Carrick,0.5442290263799126
Brighton Heights,0.4996069028249529
Mount Washington,0.4767461799839359
East Allegheny,0.4634044173965326
Bluff,0.45181201609317456
Larimer,0.4352533363380967
Greenfield,0.4280811193329888
Upper Lawrenceville,0.4280811193329888
Crawford-Roberts,0.42642219263736675
Beechview,0.4224204189987115
Allegheny West,0.40982267035577163
Central Northside,0.4027453188220549
Marshall-Shadeland,0.39502372095171545
Garfield,0.36299934603969575
Point Breeze,0.354318014761736
Westwood,0.34013862319867877
Allegheny Center,0.34013862319867877
North Shore,0.33148103099159265
West Oakland,0.3231058857356824
Allentown,0.31310857387452773
Troy Hill,0.3123982848144612
Homewood South,0.28678291902747943
Polish Hill,0.28678291902747943
Chateau,0.255677892914508
South Shore,0.24992117554809626
Lower Lawrenceville,0.24688945872346613
Point Breeze North,0.2298567212604698
Middle Hill,0.15667201107288364
Oakwood,0.14723128512321557
Highland Park,0.14723128512321557
Ridgemont,0.13660755678525724
Hazelwood,0.13660755678525724
West End,0.13660755678525724
Beltzhoover,0.1244612935012662
Lincoln Place,0.1102819019382089
Homewood North,0.1102819019382089
Bon Air,0.1102819019382089
South Side Slopes,0.1102819019382089
Sheraden,0.0932491644752126
Overbrook,0.0932491644752126
Knoxville,0.0932491644752126
Morningside,0.0932491644752126
Spring Garden,0.0932491644752126
East Hills,0.07191783521603305
South Oakland,0.07191783521603305
Crafton Heights,0.07191783521603305
Elliott,0.07191783521603305
Regent Square,0.07191783521603305
Perry South,0.04335839231004465
Arlington,0.04335839231004465
Duquesne Heights,0.04335839231004465
Terrace Village,0.04335839231004465
Friendship,0.04335839231004465
Homewood West,0.04335839231004465
Bedford Dwellings,0.0
California-Kirkbride,0.0
Manchester,0.0
Northview Heights,0.0
Mt. Oliver,0.0
Spring Hill-City View,0.0
Upper Hill,0.0
Windgap,0.0
